t_5min,n,dev1intsolirr_avg
2012-01-03 16:00:00-10,16,48.125
2012-01-03 16:05:00-10,28,44.3928571428571
2012-01-03 16:10:00-10,29,37.448275862069
2012-01-03 16:15:00-10,28,30.3928571428571
2012-01-03 16:20:00-10,28,23.6785714285714
2012-01-03 16:25:00-10,29,19.1034482758621
2012-01-03 16:30:00-10,28,16.3571428571429
2012-01-03 16:35:00-10,29,14.3448275862069
2012-01-03 16:40:00-10,28,11.7142857142857
2012-01-03 16:45:00-10,29,8.68965517241379
2012-01-03 16:50:00-10,28,5.46428571428571
2012-01-03 16:55:00-10,28,3.35714285714286
2012-01-03 17:00:00-10,29,1.62068965517241
2012-01-03 17:05:00-10,28,0.535714285714286
2012-01-03 17:10:00-10,28,0
2012-01-03 17:15:00-10,28,0
2012-01-03 17:20:00-10,29,0
2012-01-03 17:25:00-10,28,0
2012-01-03 17:30:00-10,28,0
2012-01-03 17:35:00-10,29,0
2012-01-03 17:40:00-10,28,0
2012-01-03 17:45:00-10,28,0
2012-01-03 17:50:00-10,28,0
2012-01-03 17:55:00-10,29,0
2012-01-03 18:00:00-10,11,0
2012-01-04 06:00:00-10,17,3.11764705882353
2012-01-04 06:05:00-10,28,4.89285714285714
2012-01-04 06:10:00-10,28,8.07142857142857
2012-01-04 06:15:00-10,29,13.6206896551724
2012-01-04 06:20:00-10,28,21.0714285714286
2012-01-04 06:25:00-10,29,28.8275862068966
2012-01-04 06:30:00-10,28,43.8214285714286
2012-01-04 06:35:00-10,29,56.7586206896552
2012-01-04 06:40:00-10,28,70.8928571428571
2012-01-04 06:45:00-10,28,83.3571428571429
2012-01-04 06:50:00-10,29,101.827586206897
2012-01-04 06:55:00-10,29,121.310344827586
2012-01-04 07:00:00-10,28,136.535714285714
2012-01-04 07:05:00-10,29,182.448275862069
2012-01-04 07:10:00-10,28,210.107142857143
2012-01-04 07:15:00-10,28,228.392857142857
2012-01-04 07:20:00-10,28,236.821428571429
2012-01-04 07:25:00-10,29,277.931034482759
2012-01-04 07:30:00-10,28,281.464285714286
2012-01-04 07:35:00-10,29,307.586206896552
2012-01-04 07:40:00-10,28,297.678571428571
2012-01-04 07:45:00-10,29,344.51724137931
2012-01-04 07:50:00-10,28,357
2012-01-04 07:55:00-10,29,372.931034482759
2012-01-04 08:00:00-10,28,388.928571428571
2012-01-04 08:05:00-10,29,222.827586206897
2012-01-04 08:10:00-10,28,273.107142857143
2012-01-04 08:15:00-10,29,130.655172413793
2012-01-04 08:20:00-10,28,148.857142857143
2012-01-04 08:25:00-10,29,143.51724137931
2012-01-04 08:30:00-10,28,178.392857142857
2012-01-04 08:35:00-10,28,175.285714285714
2012-01-04 08:40:00-10,29,141.724137931034
2012-01-04 08:45:00-10,28,179
2012-01-04 08:50:00-10,29,166.206896551724
2012-01-04 08:55:00-10,28,120.25
2012-01-04 09:00:00-10,29,116.310344827586
2012-01-04 09:05:00-10,29,381.965517241379
2012-01-04 09:10:00-10,28,387.428571428571
2012-01-04 09:15:00-10,29,320.724137931034
2012-01-04 09:20:00-10,28,498.75
2012-01-04 09:25:00-10,29,571.448275862069
2012-01-04 09:30:00-10,29,716.448275862069
2012-01-04 09:35:00-10,28,514.178571428571
2012-01-04 09:40:00-10,28,277.464285714286
2012-01-04 09:45:00-10,29,168.655172413793
2012-01-04 09:50:00-10,3,187.333333333333
2012-01-04 10:30:00-10,23,748.826086956522
2012-01-04 10:35:00-10,29,932.48275862069
2012-01-04 10:40:00-10,28,705.142857142857
2012-01-04 10:45:00-10,29,473.551724137931
2012-01-04 10:50:00-10,28,483.035714285714
2012-01-04 10:55:00-10,29,651.827586206897
2012-01-04 11:00:00-10,28,494.892857142857
2012-01-04 11:05:00-10,28,558.75
2012-01-04 11:10:00-10,29,424.137931034483
2012-01-04 11:15:00-10,28,486.285714285714
2012-01-04 11:20:00-10,29,531.275862068965
2012-01-04 11:25:00-10,28,725.107142857143
2012-01-04 11:30:00-10,29,534.172413793103
2012-01-04 11:35:00-10,28,584.428571428571
2012-01-04 11:40:00-10,29,541.758620689655
2012-01-04 11:45:00-10,28,528.928571428571
2012-01-04 11:50:00-10,29,535.896551724138
2012-01-04 11:55:00-10,28,536.678571428571
2012-01-04 12:00:00-10,29,647.310344827586
2012-01-04 12:05:00-10,28,452.535714285714
2012-01-04 12:10:00-10,29,708.413793103448
2012-01-04 12:15:00-10,28,734.142857142857
2012-01-04 12:20:00-10,29,720.448275862069
2012-01-04 12:25:00-10,28,514.035714285714
2012-01-04 12:30:00-10,28,652.178571428571
2012-01-04 12:35:00-10,29,698.689655172414
2012-01-04 12:40:00-10,28,839.357142857143
2012-01-04 12:45:00-10,29,832.586206896552
2012-01-04 12:50:00-10,28,599.357142857143
2012-01-04 12:55:00-10,29,496.793103448276
2012-01-04 13:00:00-10,28,440
2012-01-04 13:05:00-10,29,334.551724137931
2012-01-04 13:10:00-10,28,739.464285714286
2012-01-04 13:15:00-10,29,558.448275862069
2012-01-04 13:20:00-10,28,505.892857142857
2012-01-04 13:25:00-10,28,325.642857142857
2012-01-04 13:30:00-10,29,258.965517241379
2012-01-04 13:35:00-10,28,234.928571428571
2012-01-04 13:40:00-10,28,287.25
2012-01-04 13:45:00-10,29,336.206896551724
2012-01-04 13:50:00-10,28,278.428571428571
2012-01-04 13:55:00-10,28,439.142857142857
2012-01-04 14:00:00-10,29,368.068965517241
2012-01-04 14:05:00-10,28,367.892857142857
2012-01-04 14:10:00-10,29,371
2012-01-04 14:15:00-10,28,384
2012-01-04 14:20:00-10,29,290.137931034483
2012-01-04 14:25:00-10,28,263.321428571429
2012-01-04 14:30:00-10,29,267.896551724138
2012-01-04 14:35:00-10,28,195.035714285714
2012-01-04 14:40:00-10,29,199.758620689655
2012-01-04 14:45:00-10,28,292.392857142857
2012-01-04 14:50:00-10,29,314.48275862069
2012-01-04 14:55:00-10,28,399.857142857143
2012-01-04 15:00:00-10,29,318.827586206897
2012-01-04 15:05:00-10,28,265.642857142857
2012-01-04 15:10:00-10,29,193.896551724138
2012-01-04 15:15:00-10,28,178.392857142857
2012-01-04 15:20:00-10,29,156.551724137931
2012-01-04 15:25:00-10,28,129.75
2012-01-04 15:30:00-10,28,110
2012-01-04 15:35:00-10,29,99.4137931034483
2012-01-04 15:40:00-10,28,92.2857142857143
2012-01-04 15:45:00-10,29,88.6551724137931
2012-01-04 15:50:00-10,28,85.3571428571429
2012-01-04 15:55:00-10,29,76.0344827586207
2012-01-04 16:00:00-10,28,79.1428571428571
2012-01-04 16:05:00-10,28,105.857142857143
2012-01-04 16:10:00-10,29,100.241379310345
2012-01-04 16:15:00-10,28,78.7142857142857
2012-01-04 16:20:00-10,29,64.0689655172414
2012-01-04 16:25:00-10,28,57.1071428571429
2012-01-04 16:30:00-10,29,48.2068965517241
2012-01-04 16:35:00-10,28,32.8571428571429
2012-01-04 16:40:00-10,29,22.2758620689655
2012-01-04 16:45:00-10,28,14.6428571428571
2012-01-04 16:50:00-10,28,9.67857142857143
2012-01-04 16:55:00-10,29,5.6551724137931
2012-01-04 17:00:00-10,28,3.39285714285714
2012-01-04 17:05:00-10,28,2
2012-01-04 17:10:00-10,29,1
2012-01-04 17:15:00-10,28,0.821428571428571
2012-01-04 17:20:00-10,28,0.892857142857143
2012-01-04 17:25:00-10,29,0.655172413793103
2012-01-04 17:30:00-10,28,0.892857142857143
2012-01-04 17:35:00-10,28,0.75
2012-01-04 17:40:00-10,29,0.827586206896552
2012-01-04 17:45:00-10,28,0.821428571428571
2012-01-04 17:50:00-10,28,0.964285714285714
2012-01-04 17:55:00-10,28,1
2012-01-04 18:00:00-10,12,0.333333333333333
2012-01-05 06:00:00-10,18,4.66666666666667
2012-01-05 06:05:00-10,28,7.42857142857143
2012-01-05 06:10:00-10,29,10.9655172413793
2012-01-05 06:15:00-10,29,15.6206896551724
2012-01-05 06:20:00-10,28,20.2142857142857
2012-01-05 06:25:00-10,28,24.7857142857143
2012-01-05 06:30:00-10,29,44.5172413793103
2012-01-05 06:35:00-10,28,65.4285714285714
2012-01-05 06:40:00-10,29,89.8965517241379
2012-01-05 06:45:00-10,29,109.551724137931
2012-01-05 06:50:00-10,28,133.571428571429
2012-01-05 06:55:00-10,29,147.344827586207
2012-01-05 07:00:00-10,28,174.214285714286
