address,db_time,uptime_ms,bmp085_temp_decic,bmp085_press_pa,batt_mv,panel_mv,apogee_mv,apogee_w_m2,panel_ma
102,2013-07-03 21:27:05.335325-10,14809,254,100982,4173,410,46,230,16050
102,2013-07-03 21:27:20.113304-10,29609,254,100975,4164,0,38,190,16590
102,2013-07-03 21:27:34.896331-10,44409,254,100981,4169,322,76,380,16210
102,2013-07-03 21:27:49.685333-10,59209,256,100980,4169,283,58,290,16320
102,2013-07-03 21:28:04.462348-10,74009,256,100982,4154,244,55,275,16390
102,2013-07-03 21:28:19.243343-10,88809,255,100983,4134,254,53,265,16339
102,2013-07-03 21:28:34.035378-10,103609,256,100980,4154,254,50,250,16750
102,2013-07-03 21:28:48.810365-10,118409,255,100983,4154,205,43,215,16339
102,2013-07-03 21:29:03.589408-10,133209,255,100983,4154,244,56,280,16130
102,2013-07-03 21:29:18.372388-10,148009,255,100983,4120,224,48,240,16670
102,2013-07-03 21:29:33.15641-10,162809,255,100975,4154,244,54,270,16339
102,2013-07-03 21:29:47.9344-10,177609,255,100980,4164,244,55,275,16660
102,2013-07-03 21:30:02.714431-10,192409,255,100988,4164,303,51,255,16520
102,2013-07-03 21:30:17.499417-10,207209,255,100992,4178,303,67,335,16510
102,2013-07-03 21:30:32.283436-10,222009,256,100982,4154,322,54,270,16470
102,2013-07-03 21:30:47.061443-10,236809,256,100987,4164,723,60,300,16280
102,2013-07-03 21:31:01.848467-10,251609,256,100995,4139,2287,78,390,16230
102,2013-07-03 21:31:16.633487-10,266409,257,100994,4144,3470,100,500,16890
102,2013-07-03 21:31:31.414487-10,281209,257,101000,4178,3235,94,470,16300
102,2013-07-03 21:31:46.196489-10,296009,258,100994,4154,3988,107,535,16550
102,2013-07-03 21:32:00.978504-10,310809,258,101000,4130,3616,109,545,16010
102,2013-07-03 21:32:15.762508-10,325609,259,101002,4139,3743,109,545,16210
102,2013-07-03 21:32:30.538518-10,340409,259,100998,4149,4213,109,545,16510
102,2013-07-03 21:32:45.324521-10,355209,260,100993,4144,4115,108,540,16010
102,2013-07-03 21:33:00.108346-10,370009,260,101003,4169,4105,110,550,16490
102,2013-07-03 21:33:14.888543-10,384809,261,101001,4144,3714,103,515,16189
104,2013-07-03 21:36:35.547664-10,14809,264,101096,4081,97,327,1635,17330
104,2013-07-03 21:36:50.360675-10,29609,263,101089,4115,3695,326,1630,17750
104,2013-07-03 21:37:05.172684-10,44409,263,101085,4081,4330,326,1630,17140
104,2013-07-03 21:37:19.982691-10,59209,263,101102,4081,4252,326,1630,17480
104,2013-07-03 21:37:34.789733-10,74009,262,101092,4110,4281,327,1635,17540
104,2013-07-03 21:37:49.604704-10,88809,261,101095,4105,4291,327,1635,17340
104,2013-07-03 21:38:04.41573-10,103609,261,101100,4056,4222,326,1630,17460
